origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,249.33,0
Algeria,6,234.46333333333334,0
Antigua and Barbuda,1,165.89,0
Argentina,15,153.98066666666668,1
Australia,358,100.98262569832401,73
Austria,22,160.4240909090909,4
Azerbaijan,2,96.69,1
Bahrain,13,206.33923076923077,1
Bangladesh,10,190.926,0
Belarus,2,264.75,0
Belgium,9,163.0188888888889,2
Bhutan,1,234.22,0
Brazil,106,175.0790566037736,7
Brunei Darussalam,1,254.77,0
Bulgaria,9,204.9322222222222,1
Cambodia,1,243.64,0
Canada,444,137.1377927927928,81
Chile,46,190.57260869565218,5
China,221,187.21289592760183,30
Colombia,19,143.26105263157896,3
Costa Rica,1,79.78,0
Croatia,2,102.345,1
Czech Republic,21,190.78380952380954,4
Denmark,2,213.12,0
Dominican Republic,5,241.36599999999999,0
Egypt,37,214.65351351351353,6
Equatorial Guinea,1,241.18,0
Estonia,1,85.94,0
Ethiopia,15,248.34533333333331,0
Fiji,3,139.91,0
Finland,6,205.42333333333332,1
France,55,175.3010909090909,5
Georgia,3,105.24333333333334,2
Germany,61,184.25360655737703,13
Greece,19,113.53684210526315,9
Hungary,12,174.12333333333333,2
Iceland,16,203.32375,1
India,89,201.44898876404494,5
Indonesia,54,166.82462962962964,3
Iraq,2,250.72500000000002,0
Ireland,80,185.544,7
Islamic Republic of Iran,3,238.0666666666667,0
Israel,25,229.08919999999998,1
Italy,6,40.775,2
Japan,189,165.60306878306878,29
Jordan,12,190.56333333333336,1
Kenya,4,191.4725,1
Kingdom of the Netherlands,27,198.28962962962962,4
Kuwait,12,240.955,0
Latvia,3,94.42666666666668,1
Lebanon,1,139.81,0
Libyan Arab Jamahiriya,1,213.33,0
Lithuania,5,178.13,1
Luxembourg,7,175.97571428571428,0
Malaysia,35,192.59342857142857,1
Malta,50,157.434,9
Mauritius,1,242.41,0
Mexico,107,180.60439252336448,8
Morocco,5,184.584,1
Myanmar,2,123.55,0
Nepal,1,205.03,0
New Zealand,62,90.67629032258066,5
Nicaragua,1,0.0,1
Norway,8,201.91750000000002,1
Oman,12,222.52833333333334,0
Pakistan,7,211.28428571428572,0
Panama,25,219.0032,0
Philippines,36,136.62555555555556,10
Poland,22,185.52454545454546,2
Portugal,23,199.52608695652177,2
Qatar,69,235.5372463768116,2
Republic of Korea,119,177.68601694915256,11
Republic of Moldova,5,187.108,1
Romania,6,231.6,0
Russian Federation,18,209.81888888888886,2
San Marino,3,86.78666666666668,2
Saudi Arabia,21,222.93428571428572,0
Serbia,10,175.773,0
Seychelles,1,173.84,0
Singapore,28,201.16357142857143,2
Slovakia,2,232.81,0
Spain,62,180.56532258064516,11
Sri Lanka,7,198.71571428571428,1
Sweden,8,210.37625,1
Switzerland,15,120.65666666666667,5
Syrian Arab Republic,2,172.675,0
Taiwan,58,187.19103448275862,6
Thailand,29,179.71586206896552,1
Trinidad and Tobago,2,242.78500000000003,0
Tunisia,3,134.98333333333332,0
Turkey,196,236.3170918367347,8
Ukraine,5,418.29200000000003,0
United Arab Emirates,123,209.21715447154472,11
United Kingdom,225,190.39377777777779,25
United Republic of Tanzania,1,8.23,1
United States,5714,140.07907212885155,552
Uzbekistan,3,144.55333333333334,0
Venezuela,1,107.52,0
Viet Nam,14,183.94642857142858,2
