icao24,origin_country,velocity,on_ground
ab1644,United States,99.71,False
a09281,United States,47.94,False
aa9321,United States,251.5,False
a34230,United States,151.14,False
80163d,India,212.07,False
a3ebd7,United States,31.06,False
acdfa6,United States,228.15,False
c81bce,New Zealand,124.22,False
ac4963,United States,208.14,False
a3b88e,United States,0.0,True
a4d879,United States,183.91,False
a36897,United States,33.0,False
a36898,United States,200.42,False
a9fc94,United States,49.54,False
a5954e,United States,200.18,False
aa9300,United States,268.26,False
7c2ee7,Australia,92.2,False
801621,India,226.64,False
851914,Japan,0.0,True
a5d203,United States,282.82,False
a15bf8,United States,28.29,False
adb930,United States,72.63,False
ad5623,United States,129.64,False
ac231d,United States,80.22,False
a09272,United States,61.84,False
80161a,India,231.95,False
801625,India,227.74,False
a52bdb,United States,131.49,False
a89eb9,United States,33.44,False
acdfab,United States,12.86,True
ad694c,United States,6.69,True
407a06,United Kingdom,237.8,False
a4b238,United States,240.07,False
a34215,United States,198.6,False
0d1314,Mexico,219.73,False
a2355d,United States,230.93,False
ae1fe9,United States,61.64,False
e8023b,Chile,179.42,False
adeca5,United States,228.26,False
a2228b,United States,190.71,False
8a02d3,Indonesia,142.84,False
abacd2,United States,137.37,False
ae6306,United States,176.38,False
4acb02,Sweden,230.76,False
a47597,United States,151.47,False
4bc8c8,Turkey,233.09,False
a7bc8e,United States,215.61,False
a53eb2,United States,58.3,False
e8024d,Chile,104.66,False
80167d,India,240.25,False
abf008,United States,222.25,False
a61836,United States,3.34,True
acdfcc,United States,80.39,False
a3425f,United States,58.0,False
a9a0bb,United States,5.47,False
e80267,Chile,254.32,False
e80261,Chile,188.33,False
4bc8d5,Turkey,246.47,False
4bc8d6,Turkey,0.0,True
a963f2,United States,48.55,False
a2226b,United States,56.08,False
80164e,India,208.36,False
a35592,United States,201.2,False
a39bfa,United States,265.93,False
47b217,Norway,78.72,False
acdffc,United States,206.19,False
801663,India,227.73,False
e80278,Chile,212.48,False
ac3688,United States,242.89,False
801666,India,268.46,False
8744d4,Japan,0.06,True
adecb6,United States,11.32,True
aae377,United States,68.16,False
e8026d,Chile,165.65,False
a3689e,United States,236.55,False
a3556f,United States,140.85,False
abf025,United States,144.26,False
a3b86c,United States,6.43,True
ac21e4,United States,213.06,False
aa8075,United States,229.46,False
adda1e,United States,245.77,False
aded4f,United States,34.98,False
ab01ee,United States,54.02,False
a114a4,United States,90.21,False
a8a88b,United States,177.19,False
a7bbe9,United States,135.26,False
e80219,Chile,190.17,False
a9a215,United States,64.19,False
ae74e8,United States,60.67,False
accd69,United States,209.81,False
aae1ea,United States,0.9,True
a83244,United States,96.48,False
